Conid,Ticker,NAME,BOG_TH,SOG_TH,,,
6946,ESS,ESSEX PROPERTY TST.,0.030234263,-0.029097417,,,
6969,ETR,ENTERGY,0.0176097,-0.018977164,,,
6890,EOG,EOG RES.,0.028486711,-0.029272086,,,
6735,EFX,EQUIFAX,0.01863926,-0.018644464,,,
6917,EQR,EQUITY RESD.TST.PROPS. SHBI,0.040610738,-0.035530864,,,
57698865,EQT,EQT,0.028031434,-0.027992552,,,
1448477,EL,ESTEE LAUDER COS.'A',0.022495544,-0.020203158,,,
269082,EXPD,EXPEDITOR INTL.OF WASH.,0.027356612,-0.025563607,,,
13977,XOM,EXXON MOBIL,0.017837209,-0.017366038,,,
7238,FMC,FMC,0.029979704,-0.026866366,,,
75960201,NEE,NEXTERA ENERGY,0.018218603,-0.01887734,,,
27727424,AIZ,ASSURANT,0.030220472,-0.03468902,,,
269120,FAST,FASTENAL,0.025432234,-0.025369807,,,
269318,FITB,FIFTH THIRD BANCORP,0.062002991,-0.067436874,,,
2585323,MTB,M&T BANK,0.034561089,-0.032230769,,,
269315,FISV,FISERV,0.018821969,-0.018104366,,,
269345,FLIR,FLIR SYSTEMS,0.027,-0.025366429,,,
44475946,M,MACY'S,0.039627244,-0.038839117,,,
4906,BEN,FRANKLIN RESOURCES,0.03,-0.02884827,,,
7089,FCX,FREEPORT-MCMORAN,0.039230871,-0.043476692,,,
7765,GPS,GAP,0.027964803,-0.026358044,,,
224225737,XRAY,DENTSPLY SIRONA,0.019165179,-0.018655295,,,
7496,GD,GENERAL DYNAMICS,0.017754763,-0.01934375,,,
7616,GIS,GENERAL MILLS,0.013,-0.013542734,,,
7745,GPC,GENUINE PARTS,0.017763593,-0.017920502,,,
269753,GILD,GILEAD SCIENCES,0.021003322,-0.023466856,,,
7830,GT,GOODYEAR TIRE & RUB.,0.039189427,-0.0462,,,
9657,MCK,MCKESSON,0.018247536,-0.022636314,,,
4815747,NVDA,NVIDIA,0.037179724,-0.034911397,,,
7516,GE,GENERAL ELECTRIC,0.023150045,-0.030654676,,,
7867,GWW,WW GRAINGER,0.020760259,-0.019760764,,,
7890,HAL,HALLIBURTON,0.029736086,-0.034093445,,,
4627828,GS,GOLDMAN SACHS GP.,0.031110234,-0.034442936,,,
7935,HOG,HARLEY-DAVIDSON,0.03298229,-0.033011173,,,
7896,HAR,HARMAN INTL.INDS.,0.039044668,-0.03360587,,,
8160,HRS,HARRIS,0.02174946,-0.024819971,,,
754956,HAS,HASBRO,0.024345937,-0.022685426,,,
3655640,HSIC,HENRY SCHEIN,0.017946822,-0.016608089,,,
46126937,HCP,HCP,0.036130574,-0.035560137,,,
8097,HP,HELMERICH & PAYNE,0.03327373,-0.035740248,,,
8199,HSY,HERSHEY,0.016666667,-0.01510084,,,
6248713,FFIV,F5 NETWORKS,0.03424483,-0.030154015,,,
4740381,RAI,REYNOLDS AMERICAN,0.016770395,-0.016713162,,,
6248722,JNPR,JUNIPER NETWORKS,0.030608171,-0.027725481,,,
13277,UNM,UNUM GROUP,0.038,-0.040102564,,,
7930,HD,HOME DEPOT,0.02481245,-0.022317387,,,
8153,HRL,HORMEL FOODS,0.014784049,-0.015957092,,,
8093,CNP,CENTERPOINT EN.,0.018350148,-0.021413793,,,
8251,HUM,HUMANA,0.031833694,-0.030416263,,,
270825,JBHT,HUNT JB TRANSPORT SVS.,0.027584392,-0.024544216,,,
270018,HBAN,HUNTINGTON BCSH.,0.075705882,-0.064035088,,,
5090107,RHT,RED HAT,0.030297921,-0.02778903,,,
26734397,BIIB,BIOGEN,0.025973658,-0.022888779,,,
8620,ITW,ILLINOIS TOOL WORKS,0.020147014,-0.019966015,,,
270662,INTU,INTUIT,0.020774552,-0.019074261,,,
270639,INTC,INTEL,0.0216053,-0.020117647,,,
8385,IFF,INTL.FLAVORS & FRAG.,0.018407971,-0.018152884,,,
8511,IP,INTERNATIONAL PAPER,0.03,-0.036394787,,,
8514,IPG,INTERPUBLIC GROUP,0.042,-0.03340404,,,
8660,JEC,JACOBS ENGR.,0.030712999,-0.033720293,,,
8719,JNJ,JOHNSON & JOHNSON,0.011114914,-0.013264499,,,
1217009,HIG,HARTFORD FINL.SVS.GP.,0.073372362,-0.075792725,,,
8650,JCI,JOHNSON CONTROLS,0.029262351,-0.028528158,,,
270957,KLAC,KLA TENCOR,0.026936794,-0.024843543,,,
754442,DVN,DEVON ENERGY,0.028341054,-0.031290549,,,
8758,K,KELLOGG,0.013228296,-0.014182162,,,
8809,KEY,KEYCORP,0.056594779,-0.058143824,,,
8845,KIM,KIMCO REALTY,0.045319328,-0.045606061,,,
8864,KMB,KIMBERLY-CLARK,0.012619152,-0.013561888,,,
5049,BLK,BLACKROCK,0.032878788,-0.030127419,,,
8942,KSS,KOHL'S,0.028832358,-0.025423685,,,
8908,KR,KROGER,0.019,-0.019362319,,,
271308,LRCX,LAM RESEARCH,0.031086141,-0.028476383,,,
6220356,AKAM,AKAMAI TECHS.,0.032559165,-0.032882592,,,
9165,LM,LEGG MASON,0.042,-0.045085882,,,
9081,LEG,LEGGETT&PLATT,0.024255608,-0.023792229,,,
9091,LEN,LENNAR 'A',0.056111732,-0.049478076,,,
9274,LUK,LEUCADIA NATIONAL,0.03,-0.035590002,,,
9160,LLY,ELI LILLY,0.016436718,-0.018104242,,,
9174,LNC,LINCOLN NATIONAL,0.057894737,-0.061006724,,,
271245,LLTC,LINEAR TECHNOLOGY,0.022,-0.020390374,,,
6231002,UPS,UNITED PARCEL SER.'B',0.017076828,-0.017065324,,,
1715006,A,AGILENT TECHS.,0.024383139,-0.024769419,,,
611191,LMT,LOCKHEED MARTIN,0.017421053,-0.018695622,,,
9252,L,LOEWS,0.028274143,-0.025847523,,,
5516,CCL,CARNIVAL,0.026449981,-0.026321812,,,
6608450,RRC,RANGE RES.,0.037929864,-0.037233729,,,
9199,LOW,LOWE'S COMPANIES,0.027810207,-0.02315317,,,
6327,D,DOMINION RESOURCES,0.015,-0.016117605,,,
9322,MAC,MACERICH,0.061576638,-0.054795812,,,
11902,SCG,SCANA,0.015,-0.01664977,,,
271556,MKC,MCCORMICK & COMPANY NV.,0.013509424,-0.014411953,,,
9408,MCD,MCDONALDS,0.015094604,-0.015268247,,,
9599,MHFI,MCGRAW HILL FINANCIAL,0.029,-0.030018007,,,
8101142,EW,EDWARDS LIFESCIENCES,0.020794831,-0.019745696,,,
8057,HST,HOST HOTELS & RESORTS,0.048960265,-0.043142343,,,
9705,MMC,MARSH & MCLENNAN,0.025,-0.019272727,,,
9360,MAS,MASCO,0.036354681,-0.03288477,,,
9690,MLM,MARTIN MRTA.MATS.,0.032367988,-0.027984944,,,
9365,MAT,MATTEL,0.024,-0.021985149,,,
8093509,MET,METLIFE,0.042208686,-0.040769634,,,
52424577,ATVI,ACTIVISION BLIZZARD,0.026126176,-0.028602094,,,
2585769,CVS,CVS HEALTH,0.020058552,-0.021974003,,,
661507,LH,LABORATORY CORP.OF AM. HDG.,0.016,-0.017532374,,,
272093,MSFT,MICROSOFT,0.019166488,-0.019681514,,,
9939,MU,MICRON TECHNOLOGY,0.043839112,-0.043660517,,,
271568,MCHP,MICROCHIP TECH.,0.021121495,-0.021553236,,,
9720,MMM,3M,0.015643704,-0.017482173,,,
271967,MHK,MOHAWK INDUSTRIES,0.033146644,-0.028805785,,,
9690,KSU,KANSAS CITY SOUTHERN,0.031815883,-0.033425687,,,
9365,MUR,MURPHY OIL,0.02900907,-0.031380552,,,
8093509,ILMN,ILLUMINA,0.033978475,-0.03083206,,,
52424577,XEL,XCEL ENERGY,0.014138501,-0.015734535,,,
2585769,F,FORD MOTOR,0.034773006,-0.0535,,,
661507,NOV,NATIONAL OILWELL VARCO,0.034161228,-0.038160421,,,
272093,NTAP,NETAPP,0.029,-0.026908676,,,
9939,NFX,NEWFIELD EXPLORATION,0.035756216,-0.037059603,,,
271568,NWL,NEWELL RUBBERMAID,0.026902439,-0.027768227,,,
9720,DNB,DUN & BRADSTREET DEL.,0.01811365,-0.019742544,,,
271967,NEM,NEWMONT MINING,0.028871087,-0.028768247,,,
10109,NKE,NIKE 'B',0.021926829,-0.020548221,,,
10109,NBL,NOBLE ENERGY,0.02800778,-0.030184546,,,
272428,JWN,NORDSTROM,0.038575606,-0.03295921,,,
10497,NSC,NORFOLK SOUTHERN,0.025525424,-0.026131042,,,
10260,NI,NISOURCE,0.019,-0.019039405,,,
10413985,COH,COACH,0.032220392,-0.029840389,,,
272565,NTRS,NORTHERN TRUST,0.029,-0.030208367,,,
10376,NOC,NORTHROP GRUMMAN,0.017502824,-0.018193729,,,
10375,WFC,WELLS FARGO & CO,0.043978124,-0.041634772,,,
10557,NUE,NUCOR,0.030981702,-0.032183291,,,
10523297,MON,MONSANTO,0.027425509,-0.027614704,,,
5941,COF,CAPITAL ONE FINL.,0.053666667,-0.043129789,,,
10880,OXY,OCCIDENTAL PTL.,0.025049272,-0.027292517,,,
272800,ORCL,ORACLE,0.020142306,-0.020693095,,,
10760,OI,OWENS ILLINOIS NEW,0.032,-0.033775493,,,
272992,PCAR,PACCAR,0.02862183,-0.027765343,,,
11000,EXC,EXELON,0.01993617,-0.025293707,,,
11094,PH,PARKER-HANNIFIN,0.023703835,-0.024479212,,,
273035,PDCO,PATTERSON COMPANIES,0.019884774,-0.020304833,,,
272942,PAYX,PAYCHEX,0.016978777,-0.017271793,,,
661547,PPL,PPL,0.017133754,-0.018668639,,,
11017,PEP,PEPSICO,0.013887192,-0.014447284,,,
11031,PFE,PFIZER,0.017463902,-0.017433152,,,
10885,COP,CONOCOPHILLIPS,0.022770785,-0.024726095,,,
2586035,PCG,PG&E,0.017043478,-0.016908468,,,
10920,PBI,PITNEY-BOWES,0.022216458,-0.022814499,,,
3142097,PXD,PIONEER NTRL.RES.,0.033460228,-0.03397918,,,
9769,MO,ALTRIA GROUP,0.014483256,-0.016334764,,,
11240,PNC,PNC FINL.SVS.GP.,0.039882891,-0.036716298,,,
