Conid,Ticker,NAME,BOG_TH,SOG_TH,xx,Conid from IB excel,Check
208813720,GOOG,ALPHABET 'C',0.014271456,-0.018310221,,0,-208813720
3691937,AMZN,AMAZON.COM,0.03170015,-0.026552835,,3691937,0
4065,ABT,ABBOTT LABORATORIES,0.015636493,-0.016939237,,4065,0
2560358,AES,AES,0.03,-0.033262368,,2560358,0
8314,IBM,INTERNATIONAL BUS.MCHS.,0.016351084,-0.016146148,,0,-8314
265768,ADBE,ADOBE SYSTEMS,0.024134021,-0.024234932,,265768,0
4487,APD,AIR PRDS.& CHEMS.,0.020911471,-0.020906842,,4487,0
6366,DD,E I DU PONT DE NEMOURS,0.020845517,-0.0221635,,6366,0
5021340,BXP,BOSTON PROPERTIES,0.035577002,-0.035243902,,5021340,0
4357,ALL,ALLSTATE,0.030399548,-0.028700609,,4357,0
4350,HON,HONEYWELL INTL.,0.019170455,-0.021814733,,4350,0
4005,AA,ALCOA,0.029692949,-0.037082251,,4005,0
266145,AMGN,AMGEN,0.018973568,-0.020518933,,266145,0
39118796,HES,HESS,0.031438356,-0.033750973,,39118796,0
4721,AXP,AMERICAN EXPRESS,0.03484545,-0.033119558,,4721,0
4211,AEP,AMER.ELEC.PWR.,0.016,-0.018703297,,4211,0
4227,AFL,AFLAC,0.034683089,-0.037923077,,4227,0
61319701,AIG,AMERICAN INTL.GP.,0.088617205,-0.082610798,,61319701,0
4157,ADI,ANALOG DEVICES,0.023444444,-0.022090473,,4157,0
4482,APC,ANADARKO PETROLEUM,0.03,-0.032013845,,4482,0
4726176,ALXN,ALEXION PHARMS.,0.029,-0.028185759,,4726176,0
13497,VLO,VALERO ENERGY,0.02827932,-0.034330034,,13497,0
4472,APA,APACHE,0.027449241,-0.02938237,,4472,0
267748,CMCSA,COMCAST 'A',0.024460765,-0.025485746,,267748,0
265598,AAPL,APPLE,0.022240513,-0.027491232,,0,-265598
266093,AMAT,APPLIED MATS.,0.025202015,-0.026111311,,266093,0
4165,ADM,ARCHER-DANLS.-MIDL.,0.024545106,-0.025158295,,4165,0
11257,PNW,PINNACLE WEST CAP.,0.015288244,-0.017373362,,11257,0
13181,AEE,AMEREN,0.015385542,-0.01795175,,13181,0
4316,AIV,APARTMENT INV.& MAN.'A',0.048072272,-0.045432299,,4316,0
4631,GAS,AGL RESOURCES,0.014642379,-0.017421851,,4631,0
265681,ADSK,AUTODESK,0.028,-0.028552036,,265681,0
4661,ADP,AUTOMATIC DATA PROC.,0.015650622,-0.017435689,,4661,0
4750,AZO,AUTOZONE,0.021,-0.018750916,,4750,0
4694,AVY,AVERY DENNISON,0.02217756,-0.021691358,,4694,0
4981,BHI,BAKER HUGHES,0.028481973,-0.030747767,,4981,0
5052,BLL,BALL,0.020040716,-0.020113091,,5052,0
4851,BCR,C R BARD,0.01673788,-0.015530074,,4851,0
8111188,BAX,BAXTER INTL.,0.016965527,-0.01736579,,8111188,0
266630,BBBY,BED BATH & BEYOND,0.026056719,-0.023493943,,266630,0
4886,BDX,BECTON DICKINSON,0.014488501,-0.015872483,,4886,0
4392,AME,AMETEK,0.021384224,-0.021588792,,4392,0
4901,VZ,VERIZON COMMUNICATIONS,0.016514279,-0.01892691,,4901,0
4817,BBY,BEST BUY,0.031548387,-0.028578771,,4817,0
6608473,SLG,SL GREEN REALTY,0.065241935,-0.051682505,,6608473,0
3206042,YUM,YUM! BRANDS,0.022175793,-0.020387097,,3206042,0
3265376,FE,FIRSTENERGY,0.018227101,-0.020311013,,3265376,0
8130,HRB,H&R BLOCK,0.031216216,-0.026411527,,8130,0
4762,BA,BOEING,0.0200913,-0.022453324,,4762,0
11634,RHI,ROBERT HALF INTL.,0.027076131,-0.025166667,,11634,0
