Conid,Ticker,NAME,BOG_TH,SOG_TH,Primary Exchange
6207,CMI,CUMMINS,0.036011643,-0.034591701,NYSE
6477855,LLL,L3 COMMUNICATIONS HDG.,0.017512654,-0.018352317,NYSE
268627,DHI,D R HORTON,0.050412639,-0.042462647,NYSE
6442,DHR,DANAHER,0.018465809,-0.017641294,NYSE
6497,MCO,MOODY'S,0.036085816,-0.034375147,NYSE
4728759,CTSH,COGNIZANT TECH.SLTN.'A',0.025923988,-0.027571429,NASDAQ
6437,TGT,TARGET,0.027,-0.024051738,NYSE
1311127,DO,DIAMOND OFFS.DRL.,0.03084862,-0.03208322,NYSE
6393,DE,DEERE,0.028185618,-0.029104712,NYSE
2841574,MS,MORGAN STANLEY,0.047707865,-0.048288793,NYSE
6478024,RSG,REPUBLIC SVS.'A',0.01913986,-0.022190083,NYSE
6459,DIS,WALT DISNEY,0.02082588,-0.019951599,NYSE
49388062,DLTR,DOLLAR TREE,0.02590606,-0.024222363,NASDAQ
6517,DOV,DOVER,0.023557737,-0.022640146,NYSE
6522,DOW,DOW CHEMICAL,0.026395349,-0.029216561,NYSE
10811,OMC,OMNICOM GROUP,0.018953237,-0.019177445,NYSE
6585,DTE,DTE ENERGY,0.015056497,-0.016763158,NYSE
6477749,FLS,FLOWSERVE,0.032,-0.034010836,NYSE
661440,DRI,DARDEN RESTAURANTS,0.028583783,-0.02511756,NYSE
4347086,EBAY,EBAY,0.026595329,-0.024285612,NASDAQ
6813,EMC,EMC,0.023360382,-0.02344222,NYSE
10098,BAC,BANK OF AMERICA,0.049187845,-0.050397306,NYSE
87335484,C,CITIGROUP,0.044677744,-0.062891984,NYSE
6832,EMN,EASTMAN CHEMICAL,0.0244462,-0.024825909,NYSE
75961319,ETFC,E*TRADE FINANCIAL,0.051592593,-0.06135778,NASDAQ
6682,ECL,ECOLAB,0.017446663,-0.01797457,NYSE
6737,PKI,PERKINELMER,0.021596585,-0.02408502,NYSE
268995,EA,ELECTRONIC ARTS,0.030207547,-0.027818182,NASDAQ
29624264,CRM,SALESFORCE.COM,0.035165361,-0.032590462,NYSE
6842,EMR,EMERSON ELECTRIC,0.021722371,-0.021862891,NYSE
6946,ESS,ESSEX PROPERTY TST.,0.030234263,-0.029097417,NYSE
6969,ETR,ENTERGY,0.0176097,-0.018977164,NYSE
6890,EOG,EOG RES.,0.028486711,-0.029272086,NYSE
6735,EFX,EQUIFAX,0.01863926,-0.018644464,NYSE
6917,EQR,EQUITY RESD.TST.PROPS. SHBI,0.040610738,-0.035530864,NYSE
57698865,EQT,EQT,0.028031434,-0.027992552,NYSE
1448477,EL,ESTEE LAUDER COS.'A',0.022495544,-0.020203158,NYSE
269082,EXPD,EXPEDITOR INTL.OF WASH.,0.027356612,-0.025563607,NASDAQ
13977,XOM,EXXON MOBIL,0.017837209,-0.017366038,NYSE
7238,FMC,FMC,0.029979704,-0.026866366,NYSE
75960201,NEE,NEXTERA ENERGY,0.018218603,-0.01887734,NYSE
27727424,AIZ,ASSURANT,0.030220472,-0.03468902,NYSE
269120,FAST,FASTENAL,0.025432234,-0.025369807,NASDAQ
269318,FITB,FIFTH THIRD BANCORP,0.062002991,-0.067436874,NASDAQ
2585323,MTB,M&T BANK,0.034561089,-0.032230769,NYSE
269315,FISV,FISERV,0.018821969,-0.018104366,NASDAQ
269345,FLIR,FLIR SYSTEMS,0.027,-0.025366429,NASDAQ
44475946,M,MACY'S,0.039627244,-0.038839117,NYSE
4906,BEN,FRANKLIN RESOURCES,0.03,-0.02884827,NYSE
7089,FCX,FREEPORT-MCMORAN,0.039230871,-0.043476692,NYSE
7765,GPS,GAP,0.027964803,-0.026358044,NYSE
224225737,XRAY,DENTSPLY SIRONA,0.019165179,-0.018655295,NASDAQ
7496,GD,GENERAL DYNAMICS,0.017754763,-0.01934375,NYSE
7616,GIS,GENERAL MILLS,0.013,-0.013542734,NYSE
7745,GPC,GENUINE PARTS,0.017763593,-0.017920502,NYSE
269753,GILD,GILEAD SCIENCES,0.021003322,-0.023466856,NASDAQ
7830,GT,GOODYEAR TIRE & RUB.,0.039189427,-0.0462,NASDAQ
9657,MCK,MCKESSON,0.018247536,-0.022636314,NYSE
4815747,NVDA,NVIDIA,0.037179724,-0.034911397,NASDAQ
7516,GE,GENERAL ELECTRIC,0.023150045,-0.030654676,NYSE
7867,GWW,WW GRAINGER,0.020760259,-0.019760764,NYSE
7890,HAL,HALLIBURTON,0.029736086,-0.034093445,NYSE
4627828,GS,GOLDMAN SACHS GP.,0.031110234,-0.034442936,NYSE
7935,HOG,HARLEY-DAVIDSON,0.03298229,-0.033011173,NYSE
7896,HAR,HARMAN INTL.INDS.,0.039044668,-0.03360587,NYSE
8160,HRS,HARRIS,0.02174946,-0.024819971,NYSE
754956,HAS,HASBRO,0.024345937,-0.022685426,NASDAQ
3655640,HSIC,HENRY SCHEIN,0.017946822,-0.016608089,NASDAQ
46126937,HCP,HCP,0.036130574,-0.035560137,NYSE
8097,HP,HELMERICH & PAYNE,0.03327373,-0.035740248,NYSE
8199,HSY,HERSHEY,0.016666667,-0.01510084,NYSE
6248713,FFIV,F5 NETWORKS,0.03424483,-0.030154015,NASDAQ
4740381,RAI,REYNOLDS AMERICAN,0.016770395,-0.016713162,NYSE
6248722,JNPR,JUNIPER NETWORKS,0.030608171,-0.027725481,NYSE
13277,UNM,UNUM GROUP,0.038,-0.040102564,NYSE
7930,HD,HOME DEPOT,0.02481245,-0.022317387,NYSE
8153,HRL,HORMEL FOODS,0.014784049,-0.015957092,NYSE
8093,CNP,CENTERPOINT EN.,0.018350148,-0.021413793,NYSE
8251,HUM,HUMANA,0.031833694,-0.030416263,NYSE
270825,JBHT,HUNT JB TRANSPORT SVS.,0.027584392,-0.024544216,NASDAQ
270018,HBAN,HUNTINGTON BCSH.,0.075705882,-0.064035088,NASDAQ
5090107,RHT,RED HAT,0.030297921,-0.02778903,NYSE
26734397,BIIB,BIOGEN,0.025973658,-0.022888779,NASDAQ
8620,ITW,ILLINOIS TOOL WORKS,0.020147014,-0.019966015,NYSE
270662,INTU,INTUIT,0.020774552,-0.019074261,NASDAQ
270639,INTC,INTEL,0.0216053,-0.020117647,NASDAQ
8385,IFF,INTL.FLAVORS & FRAG.,0.018407971,-0.018152884,NYSE
8511,IP,INTERNATIONAL PAPER,0.03,-0.036394787,NYSE
8514,IPG,INTERPUBLIC GROUP,0.042,-0.03340404,NYSE
8660,JEC,JACOBS ENGR.,0.030712999,-0.033720293,NYSE
8719,JNJ,JOHNSON & JOHNSON,0.011114914,-0.013264499,NYSE
1217009,HIG,HARTFORD FINL.SVS.GP.,0.073372362,-0.075792725,NYSE
8650,JCI,JOHNSON CONTROLS,0.029262351,-0.028528158,NYSE
270957,KLAC,KLA TENCOR,0.026936794,-0.024843543,NASDAQ
754442,DVN,DEVON ENERGY,0.028341054,-0.031290549,NYSE
8758,K,KELLOGG,0.013228296,-0.014182162,NYSE
8809,KEY,KEYCORP,0.056594779,-0.058143824,NYSE
8845,KIM,KIMCO REALTY,0.045319328,-0.045606061,NYSE
8864,KMB,KIMBERLY-CLARK,0.012619152,-0.013561888,NYSE
5049,BLK,BLACKROCK,0.032878788,-0.030127419,NYSE
8942,KSS,KOHL'S,0.028832358,-0.025423685,NYSE
8908,KR,KROGER,0.019,-0.019362319,NYSE
271308,LRCX,LAM RESEARCH,0.031086141,-0.028476383,NASDAQ
6220356,AKAM,AKAMAI TECHS.,0.032559165,-0.032882592,NASDAQ
9165,LM,LEGG MASON,0.042,-0.045085882,NYSE
9081,LEG,LEGGETT&PLATT,0.024255608,-0.023792229,NYSE
9091,LEN,LENNAR 'A',0.056111732,-0.049478076,NYSE
9274,LUK,LEUCADIA NATIONAL,0.03,-0.035590002,NYSE
9160,LLY,ELI LILLY,0.016436718,-0.018104242,NYSE
9174,LNC,LINCOLN NATIONAL,0.057894737,-0.061006724,NYSE
271245,LLTC,LINEAR TECHNOLOGY,0.022,-0.020390374,NASDAQ
6231002,UPS,UNITED PARCEL SER.'B',0.017076828,-0.017065324,NYSE
1715006,A,AGILENT TECHS.,0.024383139,-0.024769419,NYSE
611191,LMT,LOCKHEED MARTIN,0.017421053,-0.018695622,NYSE
9252,L,LOEWS,0.028274143,-0.025847523,NYSE
5516,CCL,CARNIVAL,0.026449981,-0.026321812,NYSE
6608450,RRC,RANGE RES.,0.037929864,-0.037233729,NYSE
9199,LOW,LOWE'S COMPANIES,0.027810207,-0.02315317,NYSE
6327,D,DOMINION RESOURCES,0.015,-0.016117605,NYSE
9322,MAC,MACERICH,0.061576638,-0.054795812,NYSE
11902,SCG,SCANA,0.015,-0.01664977,NYSE
271556,MKC,MCCORMICK & COMPANY NV.,0.013509424,-0.014411953,NYSE
9408,MCD,MCDONALDS,0.015094604,-0.015268247,NYSE
8101142,EW,EDWARDS LIFESCIENCES,0.020794831,-0.019745696,NYSE
8057,HST,HOST HOTELS & RESORTS,0.048960265,-0.043142343,NYSE
9705,MMC,MARSH & MCLENNAN,0.025,-0.019272727,NYSE
9360,MAS,MASCO,0.036354681,-0.03288477,NYSE
272428,JWN,NORDSTROM,0.038575606,-0.03295921,NYSE
10497,NSC,NORFOLK SOUTHERN,0.025525424,-0.026131042,NYSE
10260,NI,NISOURCE,0.019,-0.019039405,NYSE
10413985,COH,COACH,0.032220392,-0.029840389,NYSE
272565,NTRS,NORTHERN TRUST,0.029,-0.030208367,NASDAQ
10376,NOC,NORTHROP GRUMMAN,0.017502824,-0.018193729,NYSE
10375,WFC,WELLS FARGO & CO,0.043978124,-0.041634772,NYSE
10557,NUE,NUCOR,0.030981702,-0.032183291,NYSE
10523297,MON,MONSANTO,0.027425509,-0.027614704,NYSE
5941,COF,CAPITAL ONE FINL.,0.053666667,-0.043129789,NYSE
10880,OXY,OCCIDENTAL PTL.,0.025049272,-0.027292517,NYSE
272800,ORCL,ORACLE,0.020142306,-0.020693095,NYSE
10760,OI,OWENS ILLINOIS NEW,0.032,-0.033775493,NYSE
272992,PCAR,PACCAR,0.02862183,-0.027765343,NASDAQ
11000,EXC,EXELON,0.01993617,-0.025293707,NYSE
11094,PH,PARKER-HANNIFIN,0.023703835,-0.024479212,NYSE
273035,PDCO,PATTERSON COMPANIES,0.019884774,-0.020304833,NASDAQ
272942,PAYX,PAYCHEX,0.016978777,-0.017271793,NASDAQ
661547,PPL,PPL,0.017133754,-0.018668639,NYSE
11017,PEP,PEPSICO,0.013887192,-0.014447284,NYSE
11031,PFE,PFIZER,0.017463902,-0.017433152,NYSE
10885,COP,CONOCOPHILLIPS,0.022770785,-0.024726095,NYSE
2586035,PCG,PG&E,0.017043478,-0.016908468,NYSE
10920,PBI,PITNEY-BOWES,0.022216458,-0.022814499,NYSE
3142097,PXD,PIONEER NTRL.RES.,0.033460228,-0.03397918,NYSE
9769,MO,ALTRIA GROUP,0.014483256,-0.016334764,NYSE
